vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
,7315218948,278280465,,Subaru,Ford,Forester 2.5I Premium Awd,Fusion,6700,17920.0,148111.0,2.0,,,0
1C4PJMDN1KD123732,7315226211,275416502,2019.0,Jeep,Jeep,Cherokee,Cherokee,22949,24499.0,49950.0,46540.0,0,,1
1FM5K7DH0HGC65931,7316406547,277711521,2017.0,Ford,Ford,Explorer,Explorer,24750,22899.0,52256.0,52246.0,0,,1
1G6DT57V590128046,7303826116,273770635,2009.0,Cadillac,Cadillac,Cts,Cts,8500,8500.0,149899.0,149899.0,0,,1
,7304236930,281215448,,Saturn,Chevrolet,Relay 2,Colorado,5750,28999.0,79990.0,61363.0,,,0
,7316285493,281855266,,Audi,Toyota,Q5,4Runner,10977,32999.0,110574.0,42486.0,,,0
WDDGF8AB3DR248018,7303590109,273653239,2013.0,Mercedes-Benz,Mercedes-Benz,C-Class,C-Class,14984,12995.0,67287.0,65513.0,0,,1
,7314537157,280892292,,Toyota,Ford,Corolla,Mustang,0,21995.0,23909.0,39929.0,,,0
,7311017653,274833450,,Nissan,Nissan,Armada,Sentra,8888,12995.0,168511.0,28916.0,,,0
1FT8W4DTXKEC05117,7315009589,279015048,2019.0,Ford,Ford,F-450,F-450 Super Duty,89995,90991.0,51644.0,23849.0,1,"Mileage molto diverso: CR=51,644, UC=23,849 (diff: 27,795, 53.8%)",1
,7311534727,276577391,,Chevrolet,Nissan,Tahoe Lt 4Wd,Pathfinder,13500,35950.0,139219.0,15671.0,,,0
,7308316109,280895732,,Jeep,Ford,Cherokee,F-250 Super Duty,16999,37700.0,184338.0,2.0,,,0
,7315430342,274623863,,Honda,Toyota,Cr-V Ex-L Awd,Sequoia,19995,59672.0,48241.0,0.0,,,0
,7302158043,277136318,,Chevrolet,Jeep,Silverado 2500Hd,Compass,47995,14999.0,94850.0,42714.0,,,0
,7313540424,173320993,,Chevrolet,Chevrolet,Malibu Lssedan,Impala Limited,2950,13995.0,182021.0,27500.0,,,0
,7314466937,279461925,,Chevrolet,Cadillac,Sonic Ls Auto W/ Turbo,Escalade Esv,13999,14375.0,39985.0,224922.0,,,0
,7316821494,276791531,,Chrysler,Honda,200 Touring Sedan 4D,Cr-V,16990,25050.0,9667.0,9.0,,,0
,7309905037,257855593,,Hyundai,Gmc,Elantra,Terrain,12999,25150.0,85202.0,5.0,,,0
,7316994768,279410913,,Toyota,Mazda,Prius,Cx-9,10999,19437.0,111399.0,98936.0,,,0
,7309415749,280517590,,Ford,Chevrolet,F-150,Traverse,47999,28995.0,18364.0,28763.0,,,0
,7316271982,279365189,,Chevrolet,Ford,Impala Lt Limited,Fusion,7950,9990.0,117000.0,120204.0,,,0
,7314428457,277481869,,Ford,Jeep,Expedition El,Compass,4999,20495.0,209799.0,15839.0,,,0
,7311514548,277535258,,Audi,Lincoln,Tt,Mkz,8950,43234.0,105000.0,0.0,,,0
,7309798750,273021579,,Hyundai,Ram,Sonata,1500,0,49545.0,,36606.0,,,0
,7316720470,269243340,,,Ford,Maserati Ghibli S Q4  4Dr Sedan,F-150,27788,55245.0,45010.0,17.0,,,0
JN8AZ1MW1DW311507,7303164083,274820244,2013.0,Nissan,Nissan,Murano,Murano,8999,7999.0,149306.0,149306.0,0,,1
,7314471687,281768469,,Nissan,Chevrolet,Murano,Tahoe,6600,37500.0,148429.0,76203.0,,,0
,7312255399,280757056,,Ford,Mini,E-150,Countryman,0,49600.0,52118.0,9.0,,,0
,7305839650,273535780,,Ram,Ford,1500,Expedition,29543,21999.0,21390.0,99350.0,,,0
,7311105794,279823836,,Nissan,Jeep,Nv,Wrangler Unlimited,11900,34250.0,143000.0,49799.0,,,0
,7314545856,275037503,,Cadillac,Mazda,Xts,Mazda6,19495,8500.0,96352.0,150986.0,,,0
,7310872253,279687370,,Ford,Tesla,Fusion S,Model X,7995,94990.0,40112.0,6584.0,,,0
,7310302793,278205775,,Acura,Chevrolet,Mdx Sh-Awd Sport Utility,Suburban,30590,36529.0,44651.0,36173.0,,,0
,7307725618,279650894,,Hyundai,Buick,Tucson,Enclave,27988,12091.0,11561.0,95080.0,,,0
,7310885263,279869779,,Ford,Toyota,Mustang Convertible,4Runner,5195,44361.0,155818.0,6.0,,,0
,7315382294,279558625,,Honda,Toyota,Cr-V Ex-L Crv Exl,Highlander,6900,32000.0,146500.0,34315.0,,,0
,7308360612,273034561,,Chevrolet,Lexus,Tahoe,Is 250,16995,13990.0,134828.0,122629.0,,,0
,7316794826,280284921,,Ford,Honda,Mustang,Civic Hatchback,8900,20455.0,169665.0,32318.0,,,0
,7314009522,279077570,,Ford,Chevrolet,F-350 Super Duty,Traverse,15995,42632.0,225371.0,8.0,,,0
,7315693582,281330333,,Ford,Honda,Escape,Cr-Z,3000,6497.0,219476.0,140000.0,,,0
,7315061300,279422882,,Ford,Hyundai,E-Series Cargo,Sonata,0,13000.0,156540.0,59455.0,,,0
19XFB2F50FE704878,7316001920,281209301,2015.0,Honda,Honda,Civic,Civic,0,15999.0,48853.0,48853.0,0,,1
