vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
2T3BFREV4GW458503,7315103560,277700151,2016.0,Toyota,Toyota,Rav4,Rav4,13900,14900.0,129881.0,125124.0,0,,1
1FADP3F28HL264316,7305293522,277581703,2017.0,Ford,Ford,Focus,Focus,9895,9895.0,84883.0,84883.0,0,,1
,7313796349,279601122,,Jeep,Ford,Wrangler Unlimited,F-250 Super Duty,42988,11399.0,29507.0,145421.0,,,0
2HGFA1F82BH526978,7314693909,279808352,2011.0,Honda,Honda,Civic,Civic,7995,7995.0,88605.0,88605.0,0,,1
,7312285966,280788129,,Chevrolet,Kia,Camaro Convertible,Rio,5000,14644.0,110000.0,,,,0
,7306807141,281509303,,Audi,Lexus,A3 Sportback E-Tron Premium,Es 350,23590,16499.0,31460.0,103296.0,,,0
,7315499390,280223152,,Chevrolet,Kia,Silverado 1500 Lt,Forte,27981,18658.0,119175.0,9.0,,,0
,7307679984,252914709,,Dodge,Ford,Grand Caravan,F-150,0,73685.0,72248.0,7.0,,,0
,7315526870,264353419,,Nissan,Ford,Leaf,Explorer,6700,35458.0,95000.0,1920.0,,,0
2FMPK4J98HBB30255,7309272660,268515837,2017.0,Ford,Ford,Certified Edge P4427,Edge,22000,20000.0,58319.0,58319.0,1,"Model diverso: CR=certified edge p4427, UC=edge",1
ZACNJABBXLPL34491,7310826651,270012871,2020.0,Jeep,Jeep,Renegade Latitude Fwd,Renegade,22995,24960.0,1904.0,17.0,0,,1
JF2GPACC6E8219724,7310867768,276543288,2014.0,Subaru,Subaru,Xv Crosstrek 2.0I,Xv Crosstrek,10495,10495.0,105626.0,105626.0,0,,1
,7311652836,274079035,,Chevrolet,Gmc,Cruze Limited Ls,Terrain,8750,34288.0,82362.0,0.0,,,0
,7310673797,278442796,,Gmc,Hyundai,Sierra 1500 4X4 At4,Elantra,56995,21698.0,22856.0,8.0,,,0
,7303592554,276239495,,Infiniti,Dodge,G35,Charger,9484,26722.0,97850.0,18482.0,,,0
,7303160208,281390089,,Honda,Ferrari,Odyssey,488,9995,239900.0,164677.0,6718.0,,,0
,7310229584,268415436,,Hyundai,Mitsubishi,Genesis 3.8 Sedan 4D,Eclipse Cross,15990,30225.0,77718.0,5.0,,,0
,7313476092,275206767,,Chevrolet,Chevrolet,Equinox Lt Fwd Gas Suv,Impala,19717,22994.0,20211.0,7139.0,,,0
,7316853230,280885597,,Chrysler,Mercedes-Benz,200,C-Class,0,26458.0,128302.0,35278.0,,,0
,7308401278,280184954,,Ford,Toyota,Econoline Cargo Van,Tacoma,3995,27998.0,279570.0,65347.0,,,0
,7313554141,281325145,,Nissan,Nissan,Altima,Murano,0,31995.0,63100.0,5.0,,,0
,7302264856,271322303,,Chevrolet,Jeep,3500 Van,Grand Cherokee,4000,44992.0,152486.0,6.0,,,0
,7314825541,279715889,,Gmc,Ram,Sierra 1500,2500,52971,75608.0,51890.0,10.0,,,0
,7309154900,278988701,,Ford,Ford,Fusion,F-150,14600,22900.0,,102319.0,,,0
,7315898776,270120205,,Ford,Chevrolet,Excursion,Silverado 3500,9950,13495.0,137000.0,49559.0,,,0
,7304795691,276214609,,Chevrolet,Acura,Tahoe,Tlx,17595,37745.0,147000.0,10.0,,,0
,7316800074,278385292,,Bmw,Toyota,3 Series 320I Sedan,Yaris,304,9991.0,25265.0,77502.0,,,0
,7315574104,279962282,,Mercedes-Benz,Chevrolet,E-Class,Cruze,21995,14998.0,53987.0,32750.0,,,0
,7307734455,277593652,,Ford,Kia,Fusion,Sorento,7922,15775.0,118167.0,76672.0,,,0
5NPE24AF2HH541947,7305723396,255088050,2017.0,Hyundai,Hyundai,Sonata,Sonata,14988,15977.0,36142.0,36105.0,0,,1
JF2GPACC1D2801831,7315285578,274143129,2013.0,Subaru,Subaru,Xv Crosstrek,Xv Crosstrek,0,13995.0,93848.0,93848.0,0,,1
,7303714441,279851148,,Chevrolet,Acura,Express 3500 Cargo Van,Ilx,10970,28905.0,172608.0,10.0,,,0
YV4162XZXK2006394,7310803233,280137907,2019.0,Volvo,Volvo,Xc40 T5 Momentum Sport,Xc40,34590,34350.0,29048.0,28152.0,0,,1
,7311330223,280822316,,Ram,Acura,2500,Tlx,59995,22462.0,47157.0,35161.0,,,0
,7310565658,244552874,,Subaru,Nissan,Forester,Altima,19995,28490.0,92000.0,10.0,,,0
,7310924199,279158653,,Kia,Honda,Soul S Wagon 4D,Accord,17990,32465.0,7389.0,4.0,,,0
,7307491760,269147852,,Ford,Honda,F-250Sd,Pilot,35995,49340.0,101792.0,9.0,,,0
,7308581518,280925113,,Mercury,Buick,Sable,Verano,2450,11995.0,167800.0,72034.0,,,0
,7315476410,267291993,,Ford,Nissan,F150 Supercrew Cab,Nv200,31999,21233.0,150525.0,,,,0
,7310821761,245129991,,Jeep,Jeep,Grand Cherokee,Gladiator,0,39177.0,46873.0,3.0,,,0
,7316229632,278885534,,Toyota,Kia,Camry,Forte,0,17998.0,35056.0,4323.0,,,0
,7315075822,281348977,,Kia,Ford,Soul,F-150,4300,49047.0,174053.0,0.0,,,0
,7315442652,280268671,,Honda,Toyota,Accord Lx 2.4L,Rav4,3800,17242.0,91000.0,71407.0,,,0
,7303772702,263513130,,Buick,Toyota,Encore Preferred Ii Sport,Camry Hybrid,17590,30416.0,47810.0,12.0,,,0
,7315657549,263554585,,Dodge,Hyundai,Journey Sxt,Veloster,16995,21435.0,59466.0,71.0,,,0
,7305830552,281302461,,Subaru,Lincoln,Impreza,Continental,0,32999.0,,50759.0,,,0
,7306255506,256293698,,Audi,Hyundai,A6 2.8 Quattro,Tucson,3595,26350.0,123648.0,10.0,,,0
,7308907806,267316035,,Honda,Honda,Ridgeline Rtl,Fit,27661,17945.0,53436.0,6.0,,,0
3GNKBERS4LS727490,7309192912,279324294,2020.0,Chevrolet,Chevrolet,Blazer,Blazer,41387,40431.0,6830.0,3.0,0,,1
,7315599419,278832362,,Toyota,Nissan,Tacoma Sr5 Trd *One,Altima,18900,17497.0,129803.0,43719.0,,,0
,7311874218,280237268,,Mazda,Ram,3,1500,7995,26244.0,71230.0,173385.0,,,0
,7314001555,280022402,,Ford,Mercedes-Benz,F-150,Sl-Class,3997,15998.0,195666.0,50342.0,,,0
,7314276555,280768548,,Ford,Lincoln,Explorer Xlt,Mkt,3998,17900.0,139000.0,110280.0,,,0
JN8AS5MV4FW758872,7314841454,275497192,2015.0,Nissan,Nissan,Rogue Select S,Rogue Select,10995,11495.0,80990.0,80990.0,0,,1
,7316200806,276527144,,Nissan,Ford,Murano,Fusion,6500,24721.0,99324.0,0.0,,,0
,7316590946,280486478,,Jeep,Volvo,Cherokee,Xc60,16495,48510.0,75218.0,9.0,,,0
1FTEX1E81AFD37622,7313241112,205606456,2010.0,Ford,Ford,F-150,F-150,10995,10995.0,190138.0,190138.0,0,,1
,7314350638,280205159,,Chevrolet,Volkswagen,Traverse,Jetta,15977,26740.0,109616.0,12.0,,,0
,7314846625,281651128,,Chevrolet,Bmw,Corvette,3 Series,43999,25998.0,62145.0,48320.0,,,0
,7314474074,278635143,,Ford,Nissan,Focus,Pathfinder,5950,30763.0,88173.0,5.0,,,0
,7306108675,280585704,,Honda,Gmc,Hr-V,Sierra 2500Hd,18581,35000.0,13860.0,71767.0,,,0
,7307721566,279213443,,Jeep,Hyundai,Compass Trailhawk Automatic,Tucson,27988,18998.0,31697.0,26503.0,,,0
WBAJA5C33HG897383,7311999131,281330053,2017.0,Bmw,Bmw,5 Series,5 Series,28985,32985.0,44785.0,44785.0,0,,1
,7316139402,276171942,,,Mercedes-Benz,International Lf687,C-Class,0,20921.0,609155.0,42216.0,,,0
,7314816385,281510769,,Chevrolet,Chrysler,Malibu Ls,300,8950,23991.0,117717.0,18797.0,,,0
,7303844698,272767352,,Ford,Toyota,Fusion,Camry,14599,5995.0,57014.0,154999.0,,,0
,7315228162,281530467,,Honda,Ford,Accord Crosstour,Edge,5900,8000.0,227017.0,120042.0,,,0
2C3CDZBG9FH715822,7316718547,277849501,2015.0,Dodge,Dodge,Challenger Sxt Plus,Challenger,23999,25999.0,70466.0,70068.0,0,,1
,7316024184,280481281,,Lexus,Nissan,Gx 460 Premium,Altima,32000,20777.0,60022.0,36205.0,,,0
,7314508739,279161811,,Chevrolet,Hyundai,Volt,Elantra,0,12770.0,79223.0,19402.0,,,0
,7310782078,280586984,,Mercedes-Benz,Buick,Sl550 Amg Sport Package,Enclave,32870,30809.0,55922.0,37314.0,,,0
,7308176961,279825983,,Chevrolet,Jeep,Silverado 2500Hd Lt,Cherokee,22500,26179.0,95838.0,11.0,,,0
,7305329367,267729797,,Volvo,Chevrolet,Xc60,Trax,219,16975.0,123302.0,36177.0,,,0
,7313394520,278496471,,Volkswagen,Toyota,Jetta 1.4T S,Sienna,20597,6988.0,7555.0,142164.0,,,0
,7306087585,279766350,,Ford,Chevrolet,Mustang Gt Coupe 2D,Equinox,29590,24548.0,20153.0,,,,0
,7313496871,280400212,,Hyundai,Nissan,Elantra Se,Sentra,9900,14288.0,62750.0,39241.0,,,0
1N4AL3APXHN307155,7316867910,271599679,2017.0,Nissan,Nissan,Altima,Altima,0,11995.0,56551.0,53955.0,0,,1
,7310229507,278665558,,Toyota,Nissan,Tacoma Access Cab Pickup,Altima,19590,21015.0,76268.0,9.0,,,0
,7304380006,277922608,,Ford,Chevrolet,Escape,Silverado 3500Hd Chassis,12999,55108.0,101161.0,2.0,,,0
3C4NJCBB7JT338499,7310000737,281572507,2018.0,Jeep,Jeep,Compass Latitude,Compass,18100,20995.0,24918.0,24659.0,0,,1
5UXKR0C59J0X94583,7316158600,225906483,2018.0,Bmw,Bmw,X5,X5,34971,41999.0,49489.0,31756.0,1,"Mileage molto diverso: CR=49,489, UC=31,756 (diff: 17,733, 35.8%)",1
,7304996198,265224723,,Ford,Mazda,Explorer Xlt 4X4 Gas Suv,Cx-5,32999,25666.0,20314.0,5.0,,,0
,7313582868,281652365,,Ford,Dodge,"Transit Connect 114.6"" Xl W/O Side Or Rear Door Glass",Ram 2500,8494,14995.0,125788.0,117575.0,,,0
,7313358425,267230792,,Bmw,Audi,X3 Xdrive28I,A3,15999,15500.0,48541.0,27034.0,,,0
5NPE24AF7HH514050,7312764559,280386161,2017.0,Hyundai,Hyundai,Sonata,Sonata,8451,8991.0,122588.0,122588.0,0,,1
,7316721477,262059251,,Ford,Hyundai,Fusion,Accent,18995,20415.0,20072.0,,,,0
,7312089637,280615308,,Toyota,Volkswagen,4Runner Sport Edition,Tiguan,11988,19877.0,127527.0,21970.0,,,0
,7316444373,281182726,,Chevrolet,Ford,Silverado 1500,Escape,29997,26230.0,23904.0,12.0,,,0
3GCUKSEC8EG162004,7312710329,280146816,2014.0,Chevrolet,Chevrolet,Silverado 1500 Ltz,Silverado 1500,25383,24995.0,146108.0,145383.0,0,,1
,7314259154,281772938,,Gmc,Ford,Terrain Slt,F-150,10995,60578.0,104417.0,0.0,,,0
,7307142186,281407804,,Lincoln,Ford,Mkz Premiere Sedan 4D,F-150,20590,34988.0,36436.0,8517.0,,,0
WDBSK75F16F117289,7310565320,244616539,2006.0,Mercedes-Benz,Mercedes-Benz,Sl-Class,Sl-Class,10995,10998.0,81199.0,81199.0,0,,1
WVWFV7AJ4AW303115,7310922125,281058517,2010.0,Volkswagen,Volkswagen,Gti,Gti,10995,8595.0,110000.0,106897.0,0,,1
,7310291463,281253313,,Chrysler,Ford,Pacifica Lx Minivan 4D,F-150,24990,61628.0,39484.0,,,,0
,7304694425,275251919,,Hyundai,Chevrolet,Santa Fe,Silverado 1500,5998,35990.0,173000.0,9993.0,,,0
,7310619433,279649394,,Infiniti,Chevrolet,G35,Silverado 2500Hd,11995,46620.0,71075.0,,,,0
,7312772449,277936004,,Hyundai,Chevrolet,Santa Fe 2.0T Sport,Silverado 1500,12488,40000.0,119495.0,16494.0,,,0
,7313522934,280440431,,Ford,Subaru,Escape,Outback,6995,26988.0,129063.0,33769.0,,,0
,7316005085,277081454,,Jeep,Dodge,Wrangler,Challenger,19998,37998.0,126623.0,33829.0,,,0
3FA6P0HD1HR115463,7311126876,267410374,2017.0,Ford,Ford,Fusion Se,Fusion,18977,16988.0,43369.0,43319.0,0,,1
1C4RJEAG5FC727624,7316312197,275966718,2015.0,Jeep,Jeep,Grand Cherokee Laredo,Grand Cherokee,17375,15996.0,90889.0,86738.0,0,,1
,7316780536,279603131,,Ram,Hyundai,1500 Longhorn,Tucson,27998,16332.0,143731.0,43386.0,,,0
,7315296523,281056219,,Audi,Chevrolet,A3 Sportback E-Tron Premium,Malibu,26990,11500.0,40989.0,2759.0,,,0
,7311540999,279657293,,Honda,Toyota,Accord,Highlander,11480,34459.0,125398.0,8019.0,,,0
JTNKHMBX2L1070029,7311121992,263191018,2020.0,Toyota,Toyota,C-Hr,C-Hr,22999,23191.0,2836.0,5.0,0,,1
,7307491760,278636288,,Ford,Nissan,F-250Sd,Altima,35995,17411.0,101792.0,41603.0,,,0
,7313413997,258520353,,Bmw,Hyundai,X6 Xdrive35I Sport Utility,Elantra,39990,19587.0,31414.0,1.0,,,0
,7308432561,275114023,,Subaru,Jaguar,Tribeca,Xe,4995,24995.0,218744.0,11925.0,,,0
,7302665381,278934312,,Ford,Hyundai,Escape,Accent,99,10734.0,32993.0,37260.0,,,0
1FM5K8HT6JGA02899,7315928573,277220774,2018.0,Ford,Ford,Explorer,Explorer,34836,32500.0,61787.0,60450.0,0,,1
1GKEV23748J182100,7314692741,213604970,2008.0,Gmc,Gmc,Acadia,Acadia,7995,7995.0,145721.0,145721.0,0,,1
,7315312640,272402410,,Ford,Nissan,Edge,Versa Note,5799,11688.0,182330.0,30404.0,,,0
,7315128458,279752682,,Chevrolet,Volkswagen,Silverado 1500,Jetta,0,27074.0,97333.0,8.0,,,0
,7316588890,274920296,,Rover,Chevrolet,Velar,Trax,48900,18438.0,23860.0,3.0,,,0
,7316320707,229125239,,Chevrolet,Bmw,Equinox Lt,4 Series,19988,47988.0,94226.0,7681.0,,,0
,7315053363,278336643,,Toyota,Toyota,Camry,Sienna,17995,19993.0,74700.0,84198.0,,,0
,7311523223,279006538,,Nissan,Honda,Altima,Passport,8998,37645.0,136638.0,0.0,,,0
,7314956494,280812094,,Chevrolet,Ford,Silverado 1500,Escape,59999,15888.0,6181.0,69410.0,,,0
,7310029923,281700343,,Toyota,Chevrolet,Camry,Express,19900,22500.0,55292.0,16969.0,,,0
,7309156460,280827394,,,Ford,Genesis G80 3.3T Sport Sedan 4D,Focus,36590,9453.0,18075.0,42583.0,,,0
5TDZY5G10JS070558,7305075191,280741550,2018.0,Toyota,Toyota,Sequoia Trd Sport Suv 4D,Sequoia,42590,42982.0,26887.0,26853.0,0,,1
,7316226468,280038218,,Toyota,Honda,Camry Hybrid,Accord,7359,27935.0,147693.0,14.0,,,0
,7311781546,278159279,,Jaguar,Volkswagen,Xj,Passat,7997,18700.0,135413.0,20516.0,,,0
,7311607510,281490799,,Acura,Chevrolet,Tl W/Advance,Malibu Maxx,12999,2399.0,93001.0,199002.0,,,0
,7312397435,252717643,,Fiat,Ford,500C Gq Edition Cabriolet,Fusion Hybrid,15590,24798.0,35326.0,2352.0,,,0
,7312359113,280533011,,,Ram,Super Duty F-350,1500,65900,18950.0,48329.0,143154.0,,,0
,7308267354,279837541,,Ram,Chevrolet,,Spark,33990,15890.0,106988.0,5.0,,,0
,7315315195,281041278,,Subaru,Buick,Crosstrek,Lucerne,27000,9500.0,42039.0,77630.0,,,0
,7315557377,278574331,,Audi,Toyota,A5 Sportback,Sienna,33579,40917.0,30607.0,6.0,,,0
1C3CCBBB3DN721764,7316666986,280568687,2013.0,Chrysler,Chrysler,200,200,6000,6000.0,157398.0,157398.0,0,,1
,7313104588,281272618,,Chevrolet,Mercedes-Benz,Silverado 2500Hd,Cla-Class,44995,26884.0,98409.0,52655.0,,,0
,7315257843,268472207,,Toyota,Chevrolet,Corolla,Trax,12299,16693.0,50148.0,10.0,,,0
,7316260795,281258501,,Toyota,Ford,Tundra,Explorer Sport Trac,0,11900.0,35831.0,88735.0,,,0
1FBSS3BL4CDB17321,7311668910,278212975,2012.0,Ford,Ford,E-350,E-Series,14495,15995.0,101788.0,101788.0,1,"Model diverso: CR=e-350, UC=e-series",1
,7312298931,281377882,,Ford,Ford,F-150,F-250 Super Duty,0,65885.0,116321.0,40904.0,,,0
,7308156169,278242649,,Lincoln,Lexus,Mkx Reserve,Gs 300,35988,6988.0,33076.0,169818.0,,,0
,7313456578,268085909,,Jeep,Volkswagen,Wrangler,Tiguan,19999,26349.0,98194.0,10.0,,,0
,7316872698,275333193,,Ford,Dodge,F350 Super Duty Crew Cab,Dakota,69899,4995.0,28084.0,168303.0,,,0
JM1BM1U71F1267225,7313636384,280047237,2015.0,Mazda,Mazda,Mazda3,Mazda3,0,9995.0,93063.0,93063.0,0,,1
,7302685867,274468620,,Chrysler,Honda,Town And Country,Civic,9950,21995.0,109837.0,2338.0,,,0
,7313127115,275678298,,Mercedes-Benz,Jeep,Gl 550,Cherokee,16000,32430.0,60000.0,12.0,,,0
,7312254896,278316106,,Volkswagen,Nissan,Golf Sportwagen Tsi,Maxima,19590,18995.0,21695.0,101412.0,,,0
,7306232053,268660187,,Jeep,Ford,Grand Cherokee Upland Sport,Explorer,31990,31889.0,8513.0,37929.0,,,0
,7306245989,279399517,,Nissan,Honda,Sentra,Cr-V Hybrid,4995,28970.0,96516.0,5.0,,,0
3GTP8BET1LG402289,7310777773,278730215,2020.0,Gmc,Gmc,Sierra 1500,Sierra 1500,46993,39388.0,13658.0,0.0,0,,1
1G4ZR5SZ4JU129421,7316161081,278366516,2018.0,Buick,Buick,Lacrosse,Lacrosse,23629,22650.0,31660.0,29482.0,0,,1
,7311820364,277882835,,Chevrolet,Volkswagen,Silverado 1500,Passat,55160,27070.0,10.0,4.0,,,0
,7311440094,281838861,,Nissan,Audi,Quest,A4,10995,33698.0,128702.0,32977.0,,,0
,7303357174,249949791,,Jeep,Infiniti,Wrangler Unlimited,Q50,415,19975.0,74235.0,43880.0,,,0
,7316839844,278584398,,Ford,Ford,Mustang Convertible,Expedition,3995,53969.0,70442.0,19326.0,,,0
,7315952913,278806936,,Hyundai,Bmw,Santa Fe Gls,5 Series,5599,12900.0,102000.0,118841.0,,,0
,7316238555,279463503,,Nissan,Chevrolet,Rogue,Traverse,274,17895.0,32929.0,72821.0,,,0
,7315253283,280184500,,Chevrolet,Ford,Corvette,F-150,22900,29999.0,101283.0,52664.0,,,0
,7316465410,278340473,,Acura,Mercedes-Benz,Tl,Sl-Class,11000,41850.0,91600.0,35864.0,,,0
,7315844267,281064128,,Ford,Chevrolet,Super Duty F-350 Srw,Silverado 1500,19900,45831.0,169724.0,0.0,,,0
,7311699809,275695235,,Nissan,Ford,Leaf,Edge,6658,22999.0,69036.0,24099.0,,,0
3N1AB7AP2EY203555,7316554398,248522249,2014.0,Nissan,Nissan,Sentra,Sentra,6995,7995.0,99000.0,99000.0,0,,1
,7310401649,254605041,,Chevrolet,Hyundai,Equinox *Lt* Awd,Tucson,18499,35578.0,41975.0,9.0,,,0
1GNKVGKD7GJ179443,7305117834,279597564,2016.0,Chevrolet,Chevrolet,Traverse,Traverse,15695,15750.0,107981.0,107976.0,0,,1
,7313843413,276970494,,Buick,Honda,Century Custom,Passport,1295,42400.0,162384.0,5.0,,,0
,7314537199,280001618,,Ram,Mazda,2500,Cx-5,59981,27030.0,5909.0,1.0,,,0
,7311391551,267146398,,Jeep,Ford,Grand Cherokee Laredo,Fusion,0,21839.0,154519.0,5.0,,,0
,7306683508,263836742,,Ford,Lincoln,F-150,Aviator,15985,64345.0,177674.0,450.0,,,0
2D4RN3D12AR446349,7310967627,281520346,2010.0,Dodge,Dodge,Grand Caravan,Grand Caravan,6995,6995.0,127071.0,127071.0,0,,1
1C4RJFAG2KC771533,7313737710,279226678,2019.0,Jeep,Jeep,Grand Cherokee Laredo Sport,Grand Cherokee,28590,30495.0,23600.0,21639.0,0,,1
4JGDA5HB6FA549167,7309765553,272218525,2015.0,Mercedes-Benz,Mercedes-Benz,Ml 350,M-Class,22685,22990.0,57598.0,57392.0,1,"Model diverso: CR=ml 350, UC=m-class",1
,7316672145,277074579,,Mercedes-Benz,Ford,Gle,F-350 Super Duty Chassis,58900,31369.0,2902.0,165136.0,,,0
2G2FS22K6T2201150,7310957286,277806802,1996.0,Pontiac,Pontiac,Firebird,Firebird,7995,11995.0,43415.0,43415.0,0,,1
,7316760530,278807375,,Subaru,Chevrolet,Impreza Awd,Tahoe,15988,64395.0,45650.0,1.0,,,0
5FNRL5H9XBB022865,7313104534,281522096,2011.0,Honda,Honda,Odyssey Touring Elite,Odyssey,13970,15470.0,113110.0,112752.0,0,,1
KNDJP3A58H7878919,7311283327,275065221,2017.0,Kia,Kia,Soul,Soul,12691,11900.0,60690.0,60507.0,0,,1
,7315883376,279394354,,Volkswagen,Ford,Tiguan,Escape,28995,11995.0,7566.0,80329.0,,,0
,7310434824,257138137,,Dodge,Ford,Journey,Expedition,15000,58429.0,24967.0,0.0,,,0
,7304115104,280994545,,Subaru,Chevrolet,Outback,Trax,27900,22890.0,10022.0,,,,0
,7314949772,259560898,,Toyota,Chrysler,Tundra,Pacifica,33990,37389.0,62348.0,16.0,,,0
1C6HJTFG1LL115643,7313493657,262545665,2020.0,Jeep,Jeep,Gladiator,Gladiator,45995,48995.0,8246.0,7866.0,0,,1
,7313755917,279455288,,Ford,Chrysler,Transit Ada Wheelchair Van,300,37833,26178.0,40902.0,11.0,,,0
,7315370373,280633232,,Bmw,Ford,X3 2.5I,Escape,7000,17995.0,88000.0,56745.0,,,0
,7311626734,255797598,,Chevrolet,Hyundai,Corvette Stingray,Elantra,62998,17319.0,3326.0,11.0,,,0
1FMCU9G93HUE91223,7305863493,280636136,2017.0,Ford,Ford,Escape Se,Escape,0,20995.0,34676.0,34676.0,0,,1
,7315820987,280100730,,Volkswagen,Ford,Golf Gti Se Hatchback,Focus,23590,11995.0,27407.0,61000.0,,,0
1GNDT13S232390904,7316276818,274777331,2003.0,Chevrolet,Chevrolet,Trailblazer Ls,Trailblazer,0,3488.0,179752.0,179752.0,0,,1
,7314763527,272053405,,Ford,Nissan,Mustang 2Dr Conv V6,Rogue,0,17899.0,151230.0,26463.0,,,0
,7303081979,277178292,,Jeep,Hyundai,Grand Cherokee Limited,Ioniq Hybrid,28990,28474.0,62252.0,1.0,,,0
1FM5K8GT1EGB37019,7316237306,281826439,2014.0,Ford,Ford,Explorer,Explorer,21999,23999.0,76496.0,66960.0,0,,1
,7311822521,279369626,,Nissan,Chevrolet,Rogue,Equinox,12995,16693.0,122806.0,63878.0,,,0
JF1VA1J6XL9811905,7315785473,267089920,2020.0,Subaru,Subaru,Wrx Limited Sedan 4D,Wrx,32590,35905.0,2194.0,13.0,0,,1
,7313283185,277934395,,Ram,Bmw,Pickup 1500 Classic,3 Series,35900,26995.0,25570.0,44862.0,,,0
,7310984427,278031176,,Ram,Kia,1500,Seltos,27995,25740.0,14041.0,0.0,,,0
,7308655726,281338551,,,Subaru,Genesis G70 3.3T Dynamic Edition,Crosstrek,40590,30283.0,3205.0,1.0,,,0
1GCDC14K9LZ200675,7304698601,277060347,1990.0,Chevrolet,Chevrolet,C/K 1500,C/K 1500,14997,15697.0,66354.0,66354.0,0,,1
,7315368819,278933699,,Ford,Hyundai,Explorer Xlt,Tucson,20753,31095.0,77452.0,10.0,,,0
,7306998805,279271968,,Chrysler,Chevrolet,Pt Cruiser Classic,Equinox,2950,11450.0,104415.0,78108.0,,,0
1FA6P8CFXK5102065,7311980362,281711671,2019.0,Ford,Ford,Mustang Gt Premium Coupe 2D,Mustang,38590,38190.0,15266.0,14154.0,0,,1
,7315932397,279163000,,Lexus,Honda,Is 300,Pilot,28910,21798.0,14560.0,63954.0,,,0
,7306073269,277881052,,,Chrysler,Suzuki Xl7,300,3800,29447.0,126726.0,34269.0,,,0
,7316384442,274144056,,,Honda,2007 Freightliner,Accord,16500,31375.0,179612.0,13.0,,,0
,7313040887,281357674,,Nissan,Chrysler,Nv2500,Pacifica,22900,35000.0,4100.0,7283.0,,,0
3N1AB7AP8HY379790,7315335284,255212028,2017.0,Nissan,Nissan,Sentra,Sentra,11999,15499.0,37720.0,37720.0,0,,1
,7312921355,279079053,,Lexus,Ford,Rx350 Sport,Escape,14200,24917.0,91079.0,,,,0
4T3ZF13C4YU210271,7317000185,262817745,2000.0,Toyota,Toyota,Sienna Le,Sienna,3695,3695.0,0.0,,0,,1
1FTPX14VX8FB89853,7315570321,278768228,2008.0,Ford,Ford,F-150,F-150,11500,11560.0,168294.0,165284.0,0,,1
1GNDT13S672284381,7316312919,273603908,2007.0,Chevrolet,Chevrolet,Trailblazer Ls Ls 4Dr,Trailblazer,3988,3988.0,185232.0,185232.0,0,,1
,7315044836,269828584,,Ford,Toyota,Focus,Highlander,9999,33897.0,76525.0,35.0,,,0
,7312164318,275841594,,Honda,Jeep,Accord Hybrid,Wrangler,6299,7999.0,135000.0,,,,0
,7308315699,280656905,,Ram,Ram,Charger,2500,14999,67150.0,6559.0,2.0,,,0
1FMJK2AT1GEF27332,7306233949,280403774,2016.0,Ford,Ford,Expedition El,Expedition,14995,17995.0,185713.0,185713.0,0,,1
,7316317064,281390013,,Chrysler,Nissan,300,Altima,0,16598.0,60984.0,22976.0,,,0
,7307140920,269535107,,Honda,Ford,Accord,F-150,18353,37152.0,71503.0,5.0,,,0
1FMCU0F70GUB06887,7315394296,281020132,2016.0,Ford,Ford,Escape S,Escape,9500,11990.0,104000.0,103410.0,0,,1
,7315402640,278283181,,Ford,Jeep,Edge Sel Plus,Grand Cherokee,4995,26879.0,179523.0,28512.0,,,0
,7309591251,276482091,,Volkswagen,Hyundai,Passat,Sonata,5500,15647.0,166200.0,9136.0,,,0
,7309596665,279678767,,Chevrolet,Toyota,Silverado 1500,Highlander,17995,36746.0,144120.0,0.0,,,0
,7310608943,268668559,,Chevrolet,Volkswagen,Corvette,Atlas,49995,42425.0,52716.0,0.0,,,0
1C6SRFKT2KN533697,7302722247,280966358,2019.0,Ram,Ram,1500,1500,0,45641.0,54899.0,51936.0,0,,1
,7311622505,277288554,,Ford,Nissan,Super Duty F-350 Srw,Titan,44999,36693.0,103639.0,34398.0,,,0
,7315536154,279645824,,Toyota,Gmc,Tacoma Prerunner,Terrain,31997,34366.0,41267.0,3.0,,,0
,7316898586,271579245,,Volkswagen,Ford,Beetle,Fusion,5775,23882.0,102785.0,6.0,,,0
,7309757858,281290872,,Jeep,Bmw,Grand Cherokee,X3,19477,48645.0,108819.0,3.0,,,0
,7305769026,277375705,,Infiniti,Toyota,Q60 3.0T Sport Coupe 2D,Tacoma,35590,36998.0,12113.0,15997.0,,,0
,7315011567,277472879,,Infiniti,Ford,Q50,Edge,18990,19599.0,64065.0,23723.0,,,0
,7316543262,281558508,,Chevrolet,Ford,Impala Lt,Explorer,0,13999.0,42194.0,101235.0,,,0
,7307865983,279929394,,Fiat,Hyundai,500,Sonata,8450,23214.0,62726.0,0.0,,,0
1N4AZ1CP8LC306879,7316176413,270543644,2020.0,Nissan,Nissan,Leaf Sv Hatchback 4D,Leaf,23990,32905.0,5873.0,6.0,0,,1
19XFB2F59FE115313,7311244871,275716385,2015.0,Honda,Honda,Civic,Civic,9995,10995.0,85642.0,85642.0,0,,1
,7315450608,278727611,,Rover,Toyota,Discovery Sport Se,Camry,28590,27653.0,30428.0,0.0,,,0
,7302081748,281679361,,Bmw,Toyota,4 Series 428I Coupe 2D,Rav4,21590,24862.0,42753.0,26792.0,,,0
